year,month,Yield Amount,temp_min,temp_max
2021,6,192.8,244,289
2010,6,173.6,244,294
2020,8,178.2,244,300
2020,6,178.2,244,289
2018,7,169.5,244,300
2020,6,178.2,244,300
2022,6,170.7,244,300
2015,6,140,244,294
2016,9,205.7,244,294
2020,8,204.4,244,289
2022,7,178.9,244,289
2023,7,198.1,244,294
2020,6,204.4,244,294
2017,8,220.8,256,278
2016,8,191.6,250,256
2022,8,154.9,250,300
2014,9,156.3,256,283
2022,5,154.9,250,278
2022,8,154.9,244,289
2022,8,154.9,244,289
2022,8,154.9,244,300
2010,6,157.3,250,300
2020,6,161.4,244,289
2022,8,154.9,244,300
2011,7,174.6,244,300
2021,6,159,244,289
2010,6,157.3,244,294
2020,8,161.4,244,300
2020,6,161.4,244,289
2018,7,159.7,244,300
2020,6,161.4,244,300
2022,6,154.9,244,300
2015,6,192,244,294
2016,9,191.6,244,294
2020,8,180.6,244,289
2022,7,201.3,244,289
2023,7,202.9,244,294
2020,6,180.6,244,294
2017,8,229.5,256,278
2016,8,156.7,250,256
2022,8,196.1,250,300
2014,9,196.4,256,283
2022,5,196.1,250,278
2022,8,196.1,244,289
2022,8,196.1,244,289
2022,8,196.1,244,300
2010,6,150.5,250,300
2020,6,187.4,244,289
2022,8,196.1,244,300
2011,7,169.1,244,300
2021,6,186.2,244,289
2010,6,150.5,244,294
2020,8,187.4,244,300
2020,6,187.4,244,289
2018,7,179.9,244,300
2020,6,187.4,244,300
2022,6,196.1,244,300
2015,6,201.4,244,294
2016,9,156.7,244,294
2020,8,190,244,289
2022,7,197.3,244,289
2023,7,223.2,244,294
2020,6,190,244,294
2017,8,211.5,256,278
2016,8,219.1,250,256
2022,8,236.3,250,300
2014,9,237.1,256,283
2022,5,236.3,250,278
2022,8,236.3,244,289
2022,8,236.3,244,289
2022,8,236.3,244,300
2010,6,143.1,250,300
2020,6,218.2,244,289
2022,8,236.3,244,300
2011,7,166,244,300
2021,6,234,244,289
2010,6,143.1,244,294
2020,8,218.2,244,300
2020,6,218.2,244,289
2018,7,251.4,244,300
2020,6,218.2,244,300
2022,6,236.3,244,300
2015,6,209.2,244,294
2016,9,219.1,244,294
2020,8,184.7,244,289
2022,7,177.8,244,289
2023,7,201.7,244,294
2020,6,184.7,244,294
2017,8,220.8,256,278
2016,8,213.4,250,256
2022,8,145.3,250,300
2014,9,156.9,256,283
2022,5,145.3,250,278
